alpha,epochs,accuracy,time
0.01,10,91.4308459014,2.15747904778
0.0001,10,90.4995583472,2.38710618019
1.0,10,91.5911494967,2.10873794556
0.25,10,91.3174338339,2.22000288963
0.25,10,82.6914808673,0.665218830109
0.01,50,91.6096880078,11.3189470768
1e-06,50,30.9353224065,14.9660420418
1e-05,50,90.4995583472,13.9171550274
0.0001,50,90.4995583472,11.7328481674
0.001,50,90.7852695172,11.3160839081
0.01,50,91.695837559,11.6515898705
0.1,50,91.3828638728,11.2633841038
1.0,50,89.2683831147,11.135630846
1,1000,90.4,90.10275220870972
1,1000,90.4,96.35803389549255
1,1000,90.39285714285714,338.32085633277893
1e-06,50,90.4,5.596238374710083
1e-06,50,90.4,5.380620718002319
1e-06,50,90.39285714285714,12.037451982498169
1,50,90.4,5.831047296524048
1,50,90.39285714285714,13.120088815689087
1,50,88.44505512480781,20.75316023826599
1,10,88.44505512480781,3.949953317642212
0.001,10,88.44505512480781,4.186681270599365
0.001,50,88.44505512480781,20.666861295700073
0.001,50,88.44505512480781,22.443992614746094
1,30,88.6428571429,3.2332379818
1,30,92.1527573309,4.5235850811
0.1,30,91.7143760701,4.40648198128
0.01,30,91.655489035,4.5873811245
0.001,30,90.6064274108,4.56208515167
0.001,30,90.6129704147,4.4725279808
0.0001,30,90.4995583472,4.45995020866
0.0001,30,90.4995583472,4.28402781487
0.0001,30,90.4995583472,4.53752112389
1e-05,30,90.4995583472,6.18816995621
1e-05,30,90.4995583472,5.95055007935
1e-05,30,90.4995583472,5.79480099678
1e-05,30,90.4995583472,6.23044204712
1e-05,30,90.4995583472,6.1117939949
1e-05,30,90.4995583472,6.11198496819
1e-05,30,90.4995583472,6.10095119476
1e-06,30,30.2635740068,5.99869608879
1e-06,30,43.964624159,6.33867096901
1e-06,100,55.771474684,22.37804389
